t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.7940435980036293,1.5188723424217139,0.609186426242723,0.5567098553580718,0.5639456827199522,0.491303784000375,0.508696215999625,0.5440435980036293,0.5188723424217139,0.5952765906241663,0.38733097737658345,0.38733097737658345,0.4047234093758335
1,1.7940435980036293,1.5188723424217139,2.334877041432367,2.0409548394183195,0.8991510556892599,0.8186919244613595,0.8344887122308589,0.48537709393486905,0.514622906065131,0.5408334434287376,0.5220824969966056,0.5960501501661746,0.3784879730742435,0.3784879730742435,0.40394984983382515
2,2.334877041432367,2.0409548394183195,2.8734886709526606,2.565259150323369,1.1886095362738403,1.0811672820280607,1.1041299473454889,0.4828765068861241,0.5171234931138758,0.5386116295202935,0.5243043109050498,0.5955306227144861,0.37662447901068363,0.37662447901068363,0.4044693772855138
3,2.8734886709526606,2.565259150323369,3.410680360759598,3.090983400941775,1.477913823732935,1.343466571374678,1.373792500464829,0.48148375759841394,0.518516242401586,0.5371916898069374,0.5257242506184059,0.5947744014617851,0.3756958924170928,0.3756958924170928,0.4052255985382149
4,3.410680360759598,3.090983400941775,3.946878047463372,3.6177016546633443,1.7671520757644987,1.6056394227901487,1.6434853586571339,0.48054162666373335,0.5194583733362665,0.5361976867037737,0.5267182537215696,0.5941425483744807,0.37505409478122864,0.37505409478122864,0.4058574516255192
5,3.946878047463372,3.6177016546633443,4.48233323462288,4.1451624079291784,2.056352574762589,1.8677324683507375,1.9131929106627512,0.47984301098455673,0.5201569890154432,0.5354551871595086,0.5274607532658345,0.5936450418436459,0.3745667928432771,0.3745667928432771,0.406354958156354
6,4.48233323462288,4.1451624079291784,5.017209247415391,4.673202335562011,2.3455276397805283,2.129770232096147,2.182909526612669,0.4792988878674894,0.5207011121325105,0.5348760127925104,0.5280399276328327,0.5932482675852289,0.37418098189245447,0.37418098189245447,0.40675173241477103
7,5.017209247415391,4.673202335562011,5.55161910710899,5.201708416293755,2.6346841596865405,2.3917669383644533,2.4526330687769593,0.47886109997692655,0.5211389000230733,0.534409859693599,0.5285060807317442,0.5929247303380522,0.37386694900552825,0.37386694900552825,0.4070752696619479
8,5.55161910710899,5.201708416293755,6.085644636960526,5.730598826867562,2.9238265548788767,2.6537317912802285,2.7223624155981003,0.47850020111245395,0.5214997988875458,0.5340255298515366,0.5288904105738064,0.5926555125097224,0.37360582845770823,0.37360582845770823,0.40734448749027763
9,6.085644636960526,5.730598826867562,6.6193471556407895,6.259812248612642,3.212957868364373,2.915671170369329,2.9920968119379743,0.4781969046319027,0.5218030953680971,0.5337025186802633,0.5292134217450797,0.5924276424697064,0.37338491593083045,0.37338491593083045,0.4075723575302937
10,6.6193471556407895,6.259812248612642,7.1527739030798205,6.789301441598954,3.502080285635195,3.1775896986943044,3.261835683448695,0.477937979316512,0.5220620206834878,0.5334267474390308,0.5294891929863121,0.5922319976969969,0.373195316245619,0.373195316245619,0.4077680023030031
11,7.1527739030798205,6.789301441598954,7.685962109323816,7.319029175780302,3.791195425333848,3.4394908374791493,3.5315785676675886,0.47771402029472565,0.5222859797052742,0.5331882062439953,0.5297277341813477,0.5920619826586471,0.3730306073936622,0.3730306073936622,0.40793801734135293
12,7.685962109323816,7.319029175780302,8.218941679743564,7.848965545785896,4.0803045163037295,3.70137724617627,3.8013250804559395,0.4775181464387903,0.5224818535612095,0.5329795704197487,0.5299363700055942,0.5919127084066762,0.37288603257586295,0.37288603257586295,0.40808729159332374
13,8.218941679743564,7.848965545785896,8.751737028547012,8.379086137407791,4.369408511082035,3.963251012620283,4.0710748963220125,0.4773451995364691,0.5226548004635307,0.5327953488034486,0.5301205916218944,0.5917804714189379,0.3727579903461815,0.3727579903461815,0.40821952858106225
14,8.751737028547012,8.379086137407791,9.284368367263024,8.909370739117122,4.6585081613509685,4.2251138060663935,4.3408277355354095,0.47719123200477254,0.5228087679952272,0.5326313387160111,0.5302846017093319,0.5916624126513313,0.3726437017449418,0.3726437017449418,0.4083375873486686
15,9.284368367263024,8.909370739117122,9.81685263281177,9.439802413993718,4.947604069592839,4.486966982226218,4.610583355082637,0.4770531681820514,0.5229468318179483,0.5324842655487466,0.5304316748765965,0.5915562881790227,0.3725409865878748,0.3725409865878748,0.4084437118209774
16,9.81685263281177,9.439802413993718,10.349204170429612,9.970366816801219,5.236696725349316,4.74881165730644,4.880341542010636,0.47692857396923105,0.5230714260307687,0.5323515376178416,0.5305644028075014,0.5914603109963333,0.3724481092607396,0.3724481092607396,0.4085396890036667
17,10.349204170429612,9.970366816801219,10.88143524571148,10.501051681944695,5.525786531234987,5.010648761412742,5.150102108356949,0.47681549626752406,0.5231845037324757,0.5322310752818671,0.5306848651434759,0.5913730394454002,0.37236367002299675,0.37236367002299675,0.4086269605545998
18,10.88143524571148,10.501051681944695,11.413556434942473,11.031846433139044,5.8148738219635465,5.272479077853158,5.4198648871879405,0.47671234862613293,0.5232876513738668,0.532121189230993,0.5307947511943499,0.5912932969568692,0.37228652685320845,0.37228652685320845,0.4087067030431308
19,11.413556434942473,11.031846433139044,11.945576927070377,11.562741881436484,6.103958878504317,5.534303272582742,5.689629729440984,0.476617828230381,0.5233821717696188,0.5320204921279033,0.5308954482974397,0.5912201132834183,0.37221573824771037,0.37221573824771037,0.40877988671658194
20,11.945576927070377,11.562741881436484,12.477504760429527,12.093729988502677,6.3930419387789446,5.796121916614436,5.959396501367907,0.4765308546051258,0.5234691453948739,0.53192783335915,0.530988107066193,0.5911526807797072,0.3721505206812252,0.3721505206812252,0.40884731922029277
21,12.477504760429527,12.093729988502677,13.009347010539136,12.62480367881841,6.68212320585665,6.057935503319976,6.229165082438612,0.47645052365491936,0.5235494763450804,0.5318422501096095,0.5310736903157336,0.5910903214047593,0.3720902165115429,0.3720902165115429,0.4089096785952407
22,13.009347010539136,12.62480367881841,13.541109940705287,13.155956689077602,6.971202854312604,6.319744461957934,6.4989353636039,0.47637607272400795,0.5236239272759918,0.5317629301661515,0.5311530102591915,0.5910324614894866,0.3720342694448697,0.3720342694448697,0.40896753851051343
23,13.541109940705287,13.155956689077602,14.072799123987007,13.687183446221225,7.260281035217792,6.581549168374873,6.768707245842788,0.47630685369860626,0.5236931463013934,0.5316891832817197,0.5312267571436233,0.5909786122107632,0.3719822055555045,0.3719822055555045,0.40902138778923686
24,14.072799123987007,13.687183446221225,14.604419542863159,14.218478967770416,7.549357880096272,6.843349953560175,7.038480638938319,0.47624231206208956,0.5237576879379101,0.5316204188761514,0.5312955215491915,0.590928354315751,0.3719336184410567,0.3719336184410567,0.40907164568424903
25,14.604419542863159,14.218478967770416,15.135975671351865,14.749838779707053,7.8384335040936595,7.10514711055127,7.308255460438662,0.4761819704138851,0.5238180295861147,0.5315561284887066,0.5313598119366364,0.5908813260509674,0.37188815749497783,0.37188815749497783,0.4091186739490325
26,15.135975671351865,14.749838779707053,15.667471543188077,15.281258848296185,8.127508008536713,7.366940900056982,7.578031634770091,0.4761254153753045,0.5238745846246953,0.5314958718362113,0.5314200685891317,0.5908372135352381,0.3718455185556458,0.3718455185556458,0.40916278646476173
27,15.667471543188077,15.281258848296185,16.198910808825236,15.812735523084367,8.416581483017966,7.628731555074449,7.847809092475311,0.4760722870934858,0.523927712906514,0.5314392656371607,0.5314766747881823,0.5907957430158821,0.3718054363863207,0.3718054363863207,0.409204256984118
28,16.198910808825236,15.812735523084367,16.730296783404373,16.34426548893057,8.705654007106434,7.890519284708385,8.11758776955613,0.47602227075851933,0.5239777292414804,0.5313859745791392,0.5315299658462038,0.5907566745901941,0.37176767857931314,0.37176767857931314,0.4092433254098059
29,16.730296783404373,16.34426548893057,17.26163248736701,16.875845725393276,8.994725651761426,8.152304277352739,8.387367606903444,0.4759750896951359,0.5240249103048639,0.5313357039626361,0.531580236462707,0.5907197970773187,0.3717320405780317,0.3717320405780317,0.40928020292268136
30,17.26163248736701,16.875845725393276,17.792920681034488,17.407473472151143,9.28379648050862,8.414086703358354,8.657148549800821,0.4759304996966295,0.5240695003033703,0.5312881936674778,0.5316277467578652,0.5906849238008702,0.37169834158385395,0.37169834158385395,0.4093150761991297
31,17.792920681034488,17.407473472151143,18.324163894205697,17.939146199405275,9.572866550424479,8.675866717283368,8.926930547490423,0.4758882843467694,0.5241117156532304,0.5312432131712097,0.5316727272541333,0.5906518890982232,0.37166642116883597,0.37166642116883597,0.4093481109017769
32,18.324163894205697,17.939146199405275,18.85536445161618,18.470861582420135,9.861935912964885,8.937644459802277,9.196713552791941,0.47584825113344226,0.5241517488665576,0.5312005574104828,0.5317153830148602,0.5906205454138452,0.3716361364556222,0.3716361364556222,0.4093794545861548
33,18.85536445161618,18.470861582420135,19.386524494938968,19.00261747952269,10.151004614666467,9.1994200593341,9.466497521766925,0.47581022820124186,0.5241897717987578,0.5311600433227879,0.5317558971025552,0.5905907608652688,0.37160735975627346,0.37160735975627346,0.40940923913473115
