t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.818059731255444,1.4948562091698991,0.612121660923483,0.5677308174688664,0.556095481630191,0.5139424377857731,0.48605756221422686,0.5680597312554442,0.4948562091698991,0.617864321111601,0.41002055445994506,0.41002055445994506,0.3821356788883988
1,1.818059731255444,1.4948562091698991,2.384356403258945,1.9914754775917416,0.9019730428681376,0.8318540888088232,0.8238624524006727,0.5093743600544978,0.49062563994550223,0.5662966720035008,0.49661926842184256,0.6151756339641093,0.39750332077627276,0.39750332077627276,0.38482436603589076
2,2.384356403258945,1.9914754775917416,2.9479920745407466,2.490755746735283,1.1914016628635848,1.0973115986493478,1.089969599044335,0.5064501990580464,0.4935498009419536,0.5636356712818018,0.4992802691435414,0.6139285319030418,0.3948646997377807,0.3948646997377807,0.3860714680969583
3,2.9479920745407466,2.490755746735283,3.509621365135252,2.992042396566121,1.4807395979158926,1.3626254831280251,1.3562253279195355,0.5044975176634886,0.4955024823365114,0.5616292905945055,0.5012866498308377,0.6127169921187449,0.3934494040279051,0.3934494040279051,0.38728300788125514
4,3.509621365135252,2.992042396566121,4.069701250358254,3.4948784517684617,1.770051661492638,1.6277532655721543,1.6226828328871645,0.5030268256764832,0.49697317432351684,0.5600798852230022,0.502836055202341,0.6116906280419636,0.39239041010343173,0.39239041010343173,0.38830937195803644
5,4.069701250358254,3.4948784517684617,4.628533797975533,3.9989618445765265,2.0593514254056773,1.892735310914543,1.8892963252090564,0.5018486927780473,0.49815130722195267,0.5588325476172784,0.5040833928080648,0.6108382528822973,0.39153152621117004,0.39153152621117004,0.3891617471177025
6,4.628533797975533,3.9989618445765265,5.186331105557887,4.504080477419516,2.3486425692028803,2.1576009680182016,2.1560330013643627,0.5008719336689328,0.4991280663310672,0.5577973075823544,0.5051186328429889,0.6101207008955465,0.3908122987237993,0.3908122987237993,0.3898792991044536
7,5.186331105557887,4.504080477419516,5.743249547112276,5.01007797629047,2.6379266986953156,2.422370301507104,2.42287077727188,0.5000429967458113,0.4999570032541887,0.5569184415543889,0.5059974988709544,0.6095061145453698,0.39019743370081744,0.39019743370081744,0.39049388545462993
8,5.743249547112276,5.01007797629047,6.299408630699789,5.5168348331283,2.927204837579344,2.6870578900283757,2.689793793639635,0.49932691455062544,0.5006730854493745,0.5561590835875125,0.5067568568378307,0.6089716353595738,0.38966333465515796,0.38966333465515796,0.3910283646404263
9,6.299408630699789,5.5168348331283,6.854902266741676,6.024257137511756,3.2164777513587675,2.9516748243243387,2.956790093841306,0.49869948272048203,0.501300517279518,0.5554936360418867,0.5074223043834565,0.6085008574739383,0.3891933333738461,0.3891933333738461,0.39149914252606177
10,6.854902266741676,6.024257137511756,7.409805925517668,6.532269419161107,3.5057460460819447,3.216229809969735,3.223850361020559,0.49814327922461915,0.5018567207753809,0.5549036587759919,0.5080122816493513,0.6080817365612255,0.38877524564989385,0.38877524564989385,0.39191826343877445
11,7.409805925517668,6.532269419161107,7.964181394664861,7.040809890439258,3.795010214600027,3.4807298425263045,3.4909671542095926,0.49764538106247913,0.502354618937521,0.5543754691471925,0.5085404712781507,0.6077052145556939,0.38839992494401004,0.38839992494401004,0.392294785444306
