t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.7950805544591426,1.507272332664896,0.5904660613218238,0.5735543268049714,0.5476993972743747,0.522,0.478,0.5450805544591427,0.507272332664896,0.6267972001351587,0.41613944144287807,0.42153846153846153,0.3824390243902439
1,1.7950805544591426,1.507272332664896,2.34093779945032,2.0205001841277808,0.8730626556777107,0.8374972336844138,0.8103783179839409,0.521,0.479,0.5458572449911774,0.5132278514628847,0.6211226003180216,0.4102753920176585,0.41422594142259417,0.38122605363984674
2,2.34093779945032,2.0205001841277808,2.897863440696353,2.5232288351744594,1.1543617967949116,1.0880598708453442,1.09083370197529,0.5255,0.47450000000000003,0.5569256412460329,0.5027286510466787,0.6183386995208872,0.40742029718081296,0.4133611691022965,0.3714011516314779
3,2.897863440696353,2.5232288351744594,3.4435463454357422,3.038089247201096,1.4360550665274212,1.3675386764632715,1.3398050677390112,0.5165,0.48350000000000004,0.5456829047393894,0.5148604120266366,0.6159423563429808,0.4049740251066172,0.38883034773445735,0.368220742150333
4,3.4435463454357422,3.038089247201096,3.98544966399276,3.5534006311109794,1.7118604805098216,1.6349343202692925,1.6026895048714052,0.511,0.489,0.5419033185570177,0.5153113839098837,0.616125206293005,0.4051603162818212,0.40847983453981385,0.39303000968054214
