t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.8240842855739525,1.4259157144260477,0.5796864413798835,0.5950616580356357,0.5315234405302193,0.545,0.45499999999999996,0.5740842855739524,0.42591571442604764,0.6533442443206707,0.4526534259761041,0.4352126607319486,0.34277047522750254
1,1.8240842855739525,1.4259157144260477,2.4158791867733536,1.8341208132266469,0.8441242597733433,0.8620228629768876,0.7669158672924509,0.5515,0.4485,0.5917949011994009,0.40820509880059924,0.6692496606232966,0.43818774896810586,0.43021978021978025,0.34724770642201835
2,2.4158791867733536,1.8341208132266469,3.0191630835497163,2.230836916450284,1.104529315294483,1.1353879950013508,0.9959556969358204,0.56775,0.43225,0.603283896776363,0.3967161032236371,0.6827128168842768,0.4402329099509665,0.43534002229654406,0.32456935630099726
3,3.0191630835497163,2.230836916450284,3.648586279759621,2.6014137202403793,1.3752164139689242,1.4055455132425325,1.2331501799563076,0.59075,0.40925,0.629423196209905,0.3705768037900952,0.6892927774470125,0.4494309761395892,0.45864661654135336,0.3086745926904447
4,3.648586279759621,2.6014137202403793,4.285134803820324,2.964865196179676,1.6467755435419738,1.691214461313907,1.4507848672157442,0.59525,0.40475000000000005,0.6365485240607034,0.3634514759392969,0.6989055150506688,0.45763328826348204,0.44777031154551006,0.3025814642403724
5,4.285134803820324,2.964865196179676,4.933721004178157,3.316278995821844,1.9164291699337508,1.976021995703819,1.6721027926965493,0.6125,0.38749999999999996,0.6485862003578321,0.351413799642168,0.7081084048602496,0.46660470429249196,0.47004323656578134,0.2906341873162537
6,4.933721004178157,3.316278995821844,5.586367978040268,3.663632021959733,2.190980021133815,2.26866705364813,1.8824136144238592,0.6145,0.38549999999999995,0.6526469738621115,0.34735302613788865,0.7133180840853437,0.4788932265806985,0.48516129032258065,0.3036734693877551
7,5.586367978040268,3.663632021959733,6.248150683462872,4.00184931653713,2.4611882054488046,2.5589604351166386,2.0986329509539945,0.62875,0.37124999999999997,0.6617827054226036,0.3382172945773966,0.7209526607528577,0.4862805303637609,0.48638132295719844,0.2819365337672905
8,6.248150683462872,4.00184931653713,6.9204510802221035,4.329548919777898,2.742608997034841,2.8506796371775143,2.3155508975490773,0.638,0.362,0.6723003967592315,0.32769960324076874,0.7256233385052715,0.4957646584665118,0.509090909090909,0.2858846918489066
9,6.9204510802221035,4.329548919777898,7.606854017680125,4.643145982319877,3.0275222803829376,3.142433479039716,2.537281193614016,0.65325,0.34675,0.6864029374580214,0.3135970625419787,0.731735563152352,0.5024759115199638,0.5013812154696132,0.26057993730407525
10,7.606854017680125,4.643145982319877,8.296577849809815,4.953422150190187,3.310549404977558,3.4469695278987396,2.7369896320645086,0.654,0.346,0.6897238321296894,0.3102761678703109,0.7369409269452675,0.5106669491573556,0.5039653929343908,0.2663605051664753
11,8.296577849809815,4.953422150190187,8.997033361787631,5.252966638212371,3.5984252295894064,3.745800935751811,2.9514971370976237,0.66575,0.33425000000000005,0.700455511977817,0.29954448802218325,0.7444244155385424,0.5153195900354798,0.5411849710982659,0.268348623853211
12,8.997033361787631,5.252966638212371,9.703496619513043,5.546503380486959,3.8873577355456916,4.052022273450835,3.154015766012212,0.67125,0.32875,0.7064632577254123,0.29353674227458787,0.7494297041321613,0.5222688990502514,0.5100972326103216,0.24784078107397672
13,9.703496619513043,5.546503380486959,10.431784661612694,5.818215338387309,4.1967525191693245,4.344570601540121,3.395979216820938,0.69275,0.30725,0.7282880420996503,0.2717119579003499,0.7549687420959775,0.5284742430032499,0.5475285171102662,0.2361266294227188
14,10.431784661612694,5.818215338387309,11.167185405467352,6.0828145945326515,4.494731636799319,4.6584196234656705,3.595952635873405,0.69925,0.30074999999999996,0.7354007438546576,0.26459925614534263,0.759934398094984,0.5336951001651812,0.5467860048820179,0.2331288343558282
15,11.167185405467352,6.0828145945326515,11.898407785124444,6.351592214875559,4.779808887940298,4.986207961769414,3.7611847228991095,0.696,0.30400000000000005,0.7312223796570925,0.26877762034290764,0.766228816952747,0.5393503205153048,0.5045719035743973,0.22166607079013229
16,11.898407785124444,6.351592214875559,12.628431701487065,6.621568298512939,5.068773680981387,5.309483982836558,3.9361910048426383,0.695,0.30500000000000005,0.7300239163626211,0.269976083637379,0.771625144878826,0.5478083070474286,0.5444078947368421,0.23922413793103448
17,12.628431701487065,6.621568298512939,13.384184130587382,6.865815869412621,5.395358526539775,5.600961064715959,4.203618894045012,0.723,0.277,0.7557524291003178,0.24424757089968227,0.7762318572481816,0.5545809343179188,0.5778688524590164,0.2133093525179856
18,13.384184130587382,6.865815869412621,14.129943126320583,7.120056873679419,5.67785229587984,5.943217864839674,4.337230720058824,0.71325,0.28674999999999995,0.745758995733201,0.2542410042667992,0.7792512442094416,0.5590287702951523,0.5496389891696751,0.22406639004149378
19,14.129943126320583,7.120056873679419,14.89042643706887,7.359573562931134,5.997364308194853,6.251434528979656,4.56849457018755,0.72975,0.27025,0.7604833107482858,0.23951668925171435,0.7841453398446172,0.5680246342486952,0.5789014821272885,0.20960392569225378
20,14.89042643706887,7.359573562931134,15.646439654272813,7.60356034572719,6.286851828505015,6.589000854028254,4.7186662761409135,0.72525,0.27475000000000005,0.7560132172039437,0.24398678279605643,0.787246511080058,0.5737731632753966,0.5790934320074006,0.22062350119904076
21,15.646439654272813,7.60356034572719,16.40757149138698,7.842428508613021,6.597183582504422,6.912289130667326,4.910793460184396,0.7315,0.26849999999999996,0.7611318371141694,0.2388681628858307,0.7920355122442789,0.5794632666178487,0.5987261146496815,0.21820062047569805
22,16.40757149138698,7.842428508613021,17.18534251475977,8.06465748524023,6.9268459275259,7.220976146104883,5.1580103599891025,0.751,0.249,0.7777710233727896,0.22222897662721044,0.794853639251201,0.5867695062823435,0.61731843575419,0.19993164730006835
23,17.18534251475977,8.06465748524023,17.955758818976275,8.294241181023729,7.2210187673580455,7.569291196405719,5.283368250873141,0.74225,0.25775000000000003,0.7704163042165022,0.22958369578349794,0.7975745444209488,0.5915732510102457,0.5883534136546185,0.20672436750998668
24,17.955758818976275,8.294241181023729,18.729490371378045,8.52050962862196,7.536831393761871,7.899640847008732,5.464490201170003,0.744,0.256,0.7737315524017686,0.22626844759823156,0.8018355246362829,0.5982440939562342,0.5926285160038798,0.20343550016840686
25,18.729490371378045,8.52050962862196,19.51858266768789,8.731417332312114,7.8780515921573615,8.21250723420893,5.712945296870452,0.76125,0.23875000000000002,0.7890922963098468,0.21090770369015333,0.8057242036903216,0.6011308029612339,0.599609375,0.18313172043010753
